id;clave;valor;fecha_inicio;fecha_fin
1;District SDD initiative;28614;2020-12-14T16:55:21;2020-12-14T10:51:15
2;global capacitor;77773;2020-12-13T23:59:23;2020-12-13T21:13:02
3;Mississippi Program;21588;2020-12-14T14:26:06;2020-12-14T16:38:32
4;array;30879;2020-12-14T00:46:52;2020-12-14T02:41:29
5;District Supervisor;76831;2020-12-13T21:35:22;2020-12-13T20:27:37
6;Brunei Darussalam;10567;2020-12-14T01:15:24;2020-12-14T01:57:20
7;bus PCI;46552;2020-12-14T02:43:53;2020-12-14T14:27:12
8;Liaison;56811;2020-12-13T23:24:04;2020-12-14T08:46:06
9;coherent holistic didactic;91763;2020-12-14T11:11:55;2020-12-13T21:08:06
10;synthesizing Beauty Ergonomic Fresh Table;55737;2020-12-14T19:11:05;2020-12-14T18:18:58
