id;clave;descripcion;moral;fisica;isr;iva
1;cyan;compressing Internal Steel;89235;15955;57692;64369
2;programming parsing sky blue;unleash disintermediate Pizza;92192;27987;92151;15194
3;Garden application;Fantastic Home Loan Account Port;86314;82617;31054;14724
4;Alabama turquoise Handcrafted Plastic Tuna;Colorado;55044;23037;33952;49382
5;Checking Account;Investor optimizing;29543;13073;72320;84127
6;Generic sensor;workforce Berkshire silver;99180;43013;19710;67760
7;index Corporate;Bedfordshire;69424;26613;7573;93721
8;Home Loan Account;envisioneer;71595;38812;79033;76257
9;Web Turkey Avon;Bedfordshire Towels;7586;9418;23249;56776
10;China;morph;92757;42660;70323;23287
