id;clave;descripcion;moral;fisica;isr;iva
1;primary input Borders;program Cedi;31914;14121;32525;16060
2;fuchsia Lake;Malagasy Ariary Chief;87004;88073;46507;96142
3;e-enable withdrawal Baby;Interactions Designer bandwidth;71685;33632;8505;1796
4;Plains;Auto Loan Account;55996;27701;71756;20671
5;Dominican Peso Assimilated;Liaison Berkshire;23621;58344;47749;58683
6;seamless Luxembourg robust;modular red executive;41562;44543;86459;49176
7;calculating Handcrafted;Licensed Cotton Mouse silver;46073;43213;12495;8088
8;pink yellow;Prairie Borders;8937;99289;27102;8459
9;index Assurance;navigating channels connect;85898;33689;53688;13205
10;Product maximize e-business;hub Car;64039;26117;94311;34530
