id;clave;descripcion;fecha_inicio;fecha_fin
1;Pennsylvania Keyboard;even-keeled knowledge base Computers;2020-12-13T23:12:47;2020-12-14T06:44:14
2;Awesome;vertical;2020-12-14T15:40:03;2020-12-14T10:45:57
3;Global redundant Berkshire;Rustic Intelligent Steel Shirt Solutions;2020-12-14T06:58:48;2020-12-13T22:06:57
4;Tasty Fresh Keyboard CSS;New Jersey Indiana;2020-12-14T02:45:55;2020-12-14T17:46:05
5;e-commerce tan;Global Wooden;2020-12-14T16:52:52;2020-12-13T23:55:42
6;Concrete;Graphical User Interface Bedfordshire architect;2020-12-13T20:24:03;2020-12-14T18:36:21
7;compelling target Nebraska;Chicken Lead;2020-12-14T09:04:37;2020-12-14T02:33:12
8;Chips Sleek Rubber Shoes Re-contextualized;deposit;2020-12-13T22:33:17;2020-12-14T09:10:02
9;bus;mobile Director Jamaican Dollar;2020-12-14T02:33:59;2020-12-14T18:10:59
10;Checking Account lime Director;interface regional Down-sized;2020-12-14T08:49:41;2020-12-14T20:04:16
