id;region;domicilio_region;sucursal_region;tipo_impuestod;tipo_solicitudd;ejerciciod
1;Bedfordshire District middleware;Borders back-end next generation;Investment Account Berkshire;Alabama;Kip Manager;52494
2;Profit-focused deposit methodologies;Bedfordshire Consultant;bypassing Marketing Bedfordshire;Group Forward Isle of Man;calculate;44861
3;solution-oriented bypass Internal;incubate Falkland Islands Pound front-end;Granite;Soft Engineer Viaduct;Handmade Rubber;56785
4;Auto Loan Account;payment;Avon;payment;Car Mills mobile;99510
5;Soft;Frozen Savings Account Concrete;Accountability Profit-focused Unbranded Wooden Gloves;Ergonomic violet;enhance Books;3345
6;port whiteboard;Intelligent Wooden Tuna Liaison;Bedfordshire customized knowledge user;Concrete Books New Zealand Dollar;leading-edge Viaduct;80192
7;fuchsia Legacy;Personal Loan Account;Haiti Legacy;Applications California;Brunei Dollar;55698
8;open-source;extend Savings Account monitor;Program hacking AGP;generate human-resource;FTP Florida;66362
9;Global violet tan;matrix payment plum;Principal overriding;black Incredible copy;AI matrices Handmade Soft Shoes;82079
10;Principal;Awesome;New York extend;Bedfordshire;navigating;90205
