id;rfc;fecha;tipo_solicitudd;folio;estatus
1;Kansas Fiji;2020-12-14T14:24:35;Valleys Optimization blue;repurpose Auto Loan Account Metal;29826
2;plug-and-play Visionary Consultant;2020-12-14T12:12:59;empower Chips Indiana;Tactics Planner Shoes;18870
3;indigo Lead;2020-12-13T20:46:04;Concrete digital Automated;payment;28199
4;Human Soft payment;2020-12-14T18:29:09;protocol tertiary Personal Loan Account;Auto Loan Account;71067
5;Fresh;2020-12-14T07:58:00;Global synthesize parsing;Buckinghamshire;54417
6;auxiliary Integration reboot;2020-12-14T02:08:19;Rand Namibia Dollar;regional;97877
7;uniform Implementation;2020-12-14T13:42:09;Afghani;Buckinghamshire;92771
8;Burundi;2020-12-14T05:08:05;bypass Ergonomic orchid;analyzer;49517
9;IB Personal Loan Account SCSI;2020-12-14T07:36:50;orange Granite;Toys Tasty Steel Table;66005
10;Awesome Rubber Table;2020-12-14T06:34:13;yellow Minnesota Implemented;Administrator synthesize;11151
