id;clave;descripcion;isr;iva;fecha_inicio;fecha_fin
1;Assimilated Division Missouri;online Mills Accounts;80784;69369;2020-12-14T16:27:41;2020-12-14T15:37:44
2;deposit Bahamas;override Orchestrator;37276;675;2020-12-14T05:40:32;2020-12-13T22:13:46
3;Executive deposit generating;Saint Vincent and the Grenadines;35721;27251;2020-12-14T03:57:49;2020-12-14T08:03:03
4;Sleek orange IB;black;61039;87314;2020-12-14T18:40:26;2020-12-13T22:18:15
5;mesh synthesizing lime;Facilitator drive Regional;52662;31277;2020-12-14T02:42:45;2020-12-14T11:22:02
6;Direct RAM Awesome Steel Gloves;withdrawal schemas microchip;51198;59711;2020-12-13T23:08:27;2020-12-14T18:33:12
7;Incredible Tasty Metal Pants;South Carolina;1678;74662;2020-12-14T05:23:44;2020-12-14T17:33:12
8;Reunion Shoes Gorgeous Wooden Bacon;Configuration;40128;87829;2020-12-14T13:34:08;2020-12-14T18:40:51
9;Borders bypassing;digital Metal;33332;23319;2020-12-14T14:39:33;2020-12-14T01:42:35
10;lavender;Cotton;80329;82273;2020-12-14T04:39:27;2020-12-14T14:49:18
